".model","armse","amae","amape","srmse","smae","smape","h","i"
"base",1647.96907987309,1647.96907987309,0.697860255889614,NA,NA,NA,1,142
"bu",1800.56406626949,1800.56406626949,0.762479172321146,NA,NA,NA,1,142
"mint",4636.4087715444,4636.4087715444,1.96336536360743,NA,NA,NA,1,142
"ols",2059.31605369726,2059.31605369726,0.8720520583441,NA,NA,NA,1,142
"wlss",2281.88122739247,2281.88122739247,0.966301028767149,NA,NA,NA,1,142
"wlsv",2211.38229807245,2211.38229807245,0.936447070063626,NA,NA,NA,1,142
"base",41870.2103681985,41870.2103681985,22.0217693948901,NA,NA,NA,1,143
"bu",35721.0723125941,35721.0723125941,18.7876108118056,NA,NA,NA,1,143
"mint",41664.0848473096,41664.0848473096,21.9133570261081,NA,NA,NA,1,143
"ols",40555.2299044113,40555.2299044113,21.3301512664486,NA,NA,NA,1,143
"wlss",38687.3603967562,38687.3603967562,20.3477393990229,NA,NA,NA,1,143
"wlsv",38205.8876588565,38205.8876588565,20.0945072917391,NA,NA,NA,1,143
"base",19496.24094309,19496.24094309,10.8695298680296,NA,NA,NA,1,144
"bu",25211.3976264641,25211.3976264641,14.0558398060191,NA,NA,NA,1,144
"mint",10791.6746066108,10791.6746066108,6.01656646555693,NA,NA,NA,1,144
"ols",20102.0443676721,20102.0443676721,11.2072769463957,NA,NA,NA,1,144
"wlss",21601.3161836431,21601.3161836431,12.0431498632088,NA,NA,NA,1,144
"wlsv",22197.4069594445,22197.4069594445,12.3754819527918,NA,NA,NA,1,144
"base",19900.6042337076,19900.6042337076,8.99344458069115,NA,NA,NA,1,145
"bu",27676.2521767131,27676.2521767131,12.5074011436752,NA,NA,NA,1,145
"mint",24226.3749059656,24226.3749059656,10.9483389322826,NA,NA,NA,1,145
"ols",20685.9360304637,20685.9360304637,9.34835028649972,NA,NA,NA,1,145
"wlss",22429.7132139088,22429.7132139088,10.1363948743029,NA,NA,NA,1,145
"wlsv",23034.3406214986,23034.3406214986,10.4096369838524,NA,NA,NA,1,145
"base",30738.918488951,30738.918488951,15.8497870407453,NA,NA,NA,1,146
"bu",24218.7418679813,24218.7418679813,12.4878141415503,NA,NA,NA,1,146
"mint",28285.5204008892,28285.5204008892,14.5847510819841,NA,NA,NA,1,146
"ols",30084.7186981197,30084.7186981197,15.5124645884116,NA,NA,NA,1,146
"wlss",28608.1380651435,28608.1380651435,14.7511011530138,NA,NA,NA,1,146
"wlsv",28085.5106430537,28085.5106430537,14.4816208411169,NA,NA,NA,1,146
"base",28750.8362935658,28750.8362935658,12.3834210385257,NA,NA,NA,1,147
"bu",28340.8695250956,28340.8695250956,12.2068421364745,NA,NA,NA,1,147
"mint",27159.3773840563,27159.3773840563,11.697955560557,NA,NA,NA,1,147
"ols",27802.8577545882,27802.8577545882,11.975112310954,NA,NA,NA,1,147
"wlss",27186.3010577799,27186.3010577799,11.7095519949778,NA,NA,NA,1,147
"wlsv",27275.006861727,27275.006861727,11.7477589294691,NA,NA,NA,1,147
"base",10371.5856528406,10371.5856528406,4.71881854336856,NA,NA,NA,1,148
"bu",8356.19488871488,8356.19488871488,3.80186489440693,NA,NA,NA,1,148
"mint",7895.46781065807,7895.46781065807,3.59224530950083,NA,NA,NA,1,148
"ols",10011.570063065,10011.570063065,4.55502022961026,NA,NA,NA,1,148
"wlss",9486.04955390986,9486.04955390986,4.31592121365194,NA,NA,NA,1,148
"wlsv",9350.61055267687,9350.61055267687,4.25429977100025,NA,NA,NA,1,148
"base",11567.6065226528,11567.6065226528,5.51174359736068,NA,NA,NA,1,149
"bu",9817.52719963001,9817.52719963001,4.67786422182569,NA,NA,NA,1,149
"mint",11003.9549457393,11003.9549457393,5.2431743852154,NA,NA,NA,1,149
"ols",11445.0942936335,11445.0942936335,5.45336885989245,NA,NA,NA,1,149
"wlss",11076.0616402015,11076.0616402015,5.27753184807954,NA,NA,NA,1,149
"wlsv",10917.6727071108,10917.6727071108,5.20206254627145,NA,NA,NA,1,149
"base",21078.2012140156,21078.2012140156,8.79108188499534,NA,NA,NA,1,150
"bu",21888.1201004957,21888.1201004957,9.1288746206732,NA,NA,NA,1,150
"mint",22157.7928898217,22157.7928898217,9.24134700619835,NA,NA,NA,1,150
"ols",20491.7417491345,20491.7417491345,8.54648733322815,NA,NA,NA,1,150
"wlss",20257.8759825061,20257.8759825061,8.44894897672169,NA,NA,NA,1,150
"wlsv",20395.3447211551,20395.3447211551,8.50628304075403,NA,NA,NA,1,150
"base",10523.2684780865,10523.2684780865,4.25988069484379,NA,NA,NA,1,151
"bu",9152.71020309295,9152.71020309295,3.70507068035435,NA,NA,NA,1,151
"mint",9080.00795730852,9080.00795730852,3.67564038558103,NA,NA,NA,1,151
"ols",9454.18625145243,9454.18625145243,3.82710994990626,NA,NA,NA,1,151
"wlss",8594.39220182912,8594.39220182912,3.47906028442838,NA,NA,NA,1,151
"wlsv",8597.67531739094,8597.67531739094,3.48038930883081,NA,NA,NA,1,151
"base",11356.5047624116,11356.5047624116,4.66568261227651,NA,NA,NA,1,152
"bu",11934.1295335923,11934.1295335923,4.90299276251197,NA,NA,NA,1,152
"mint",12254.2047996722,12254.2047996722,5.03449181392008,NA,NA,NA,1,152
"ols",11280.6031747045,11280.6031747045,4.63449936307986,NA,NA,NA,1,152
"wlss",11317.9457393173,11317.9457393173,4.6498411040518,NA,NA,NA,1,152
"wlsv",11368.5438109406,11368.5438109406,4.67062870973914,NA,NA,NA,1,152
"base",6662.96555259245,6662.96555259245,2.68917364999493,NA,NA,NA,1,153
"bu",5528.29740588955,5528.29740588955,2.23122145775903,NA,NA,NA,1,153
"mint",4538.62226342002,4538.62226342002,1.83178845841709,NA,NA,NA,1,153
"ols",6393.34453351295,6393.34453351295,2.58035457622511,NA,NA,NA,1,153
"wlss",6079.44617902135,6079.44617902135,2.45366516487926,NA,NA,NA,1,153
"wlsv",6032.80536979763,6032.80536979763,2.43484092900578,NA,NA,NA,1,153
