data,Automoveis,Comerciaisleves,Semileve,Leve,Medio,Semipesado,Pesado,Rodoviario,Urbano
2013-01,237700,38430,202,1737,1058,5579,4046,475,2657
2013-02,191832,33564,445,2253,956,5261,4749,548,2464
2013-03,265001,43782,358,3450,935,6252,5538,780,3007
2013-04,278924,51538,539,3325,1297,6924,5949,792,3040
2013-05,275799,48491,242,3177,1067,6393,5499,660,3228
2013-06,257861,45781,398,2662,1151,6101,5824,582,3493
2013-07,254372,42043,321,3420,1219,6542,5121,511,3191
2013-08,267515,53521,323,3325,1315,6824,7272,577,2890
2013-09,252575,49806,325,3009,918,6651,6248,803,2441
2013-10,253699,47008,345,3592,1137,6509,6915,838,2634
2013-11,234256,40866,342,1849,818,5108,6609,352,2955
2013-12,185822,36071,219,294,469,2683,3913,144,1492
2014-01,191095,30088,204,2963,1051,4727,4831,380,2051
2014-02,223578,39125,256,3039,1019,4725,6135,680,3070
2014-03,218999,36211,182,2642,880,4873,5267,720,2980
2014-04,218831,42551,306,1969,736,4828,4475,467,2928
2014-05,225128,40144,153,2087,676,5653,4126,436,2952
2014-06,170647,34566,155,1558,428,3184,2865,540,2000
2014-07,201533,37542,240,3059,689,3870,4464,725,2226
2014-08,207872,41917,39,2970,721,4199,4059,541,2319
2014-09,236981,49385,191,2420,563,4333,4279,587,2192
2014-10,229861,48378,215,1933,672,4858,4716,514,2181
2014-11,210907,40301,234,2325,747,3952,4520,408,1436
2014-12,172327,30962,50,910,109,1272,1363,183,421
2015-01,165394,28729,136,2023,493,3456,2183,349,1953
2015-02,165273,30434,84,1681,395,3129,2359,481,2117
2015-03,205240,41080,85,2019,431,2801,2038,752,2034
2015-04,177808,32890,276,1744,505,2912,1427,506,1555
2015-05,178339,26220,89,1753,513,2349,1465,565,1754
2015-06,158917,21608,123,1718,284,1864,1295,650,1149
2015-07,191380,23271,148,1596,268,2402,2185,682,1213
2015-08,186345,24170,318,1447,228,1708,1582,429,764
2015-09,149977,19234,44,1522,315,2157,1781,578,1149
2015-10,169992,30074,293,2186,448,2028,1844,293,939
2015-11,143944,23535,150,1621,327,1357,1895,292,753
2015-12,123699,14976,57,819,138,685,883,267,274
2016-01,132206,15238,154,1084,420,1285,1215,151,1025
2016-02,118574,18933,246,1196,563,1557,1755,324,1185
2016-03,165544,27493,349,1173,495,1560,2084,661,993
2016-04,142067,22449,254,1109,437,1417,1980,451,1134
2016-05,146224,25848,200,1179,526,1496,1931,481,1010
2016-06,147480,31376,114,1396,521,1442,2097,560,1264
2016-07,152295,32758,231,1354,386,1586,1534,350,1285
2016-08,149414,25108,201,1275,266,1423,2046,409,1055
2016-09,141286,23829,121,1388,284,1481,1572,363,1781
2016-10,151948,19333,148,1462,199,1395,1431,184,1470
2016-11,185640,26486,84,1338,312,1449,2179,228,1368
2016-12,166216,29852,137,981,283,1090,1611,114,859
2017-01,154586,19239,186,1191,463,1267,1375,279,790
2017-02,171045,24046,194,1234,339,1605,1942,353,1005
2017-03,201134,27796,170,1171,331,1772,2508,428,1258
2017-04,159822,24340,219,899,557,2193,2032,461,1031
2017-05,210787,32903,212,1271,673,2448,2972,649,1483
2017-06,176868,28937,246,1242,598,2055,2656,559,1677
2017-07,189340,27122,281,1451,617,2024,2720,398,1878
2017-08,225601,30208,268,1859,807,2353,3201,342,1850
2017-09,204847,25630,227,1457,655,1972,3288,273,1414
2017-10,213674,30463,179,2136,429,2083,3414,335,1193
2017-11,213538,30704,115,1728,596,2258,3469,321,1344
2017-12,186655,24284,93,2228,494,1728,2893,164,1158
2018-01,182025,28540,96,1433,391,2146,2641,398,1547
2018-02,176807,26803,162,1399,482,2124,3613,547,1561
2018-03,218015,36744,180,1947,534,2660,4626,642,2191
2018-04,217393,36761,166,1865,530,2239,4295,704,2596
2018-05,179583,23498,212,1470,511,1998,3232,413,1412
2018-06,208851,35881,178,1547,604,2206,4100,852,2092
2018-07,201002,33220,158,1681,629,2806,3581,828,2030
2018-08,243241,35173,97,1916,689,2671,4324,534,2454
2018-09,187288,24428,113,1713,602,2420,4267,466,1784
2018-10,221319,28699,264,2410,668,2586,4930,313,1997
2018-11,204570,28089,187,1786,507,2206,5357,181,1888
2018-12,147873,21145,89,1191,236,1452,4411,222,884
2019-01,166195,24220,72,1468,324,1806,3141,325,1594
2019-02,217812,27970,118,1840,405,2292,4976,655,1871
2019-03,203108,27665,57,1325,392,1596,4949,298,1373
2019-04,225330,30021,48,1146,350,2045,5823,606,2192
2019-05,230351,31391,124,1826,601,2417,6262,615,2160
2019-06,190859,29923,107,1461,689,2260,5476,608,1767
2019-07,221869,31565,104,1553,596,2658,6007,451,2189
2019-08,222648,33712,72,1209,624,2769,6058,370,2296
2019-09,203198,31438,101,1457,627,2602,5619,321,2092
2019-10,239005,35578,101,2012,549,2937,5687,447,2203
2019-11,186426,30219,63,1602,305,2126,4668,398,1648
2019-12,141689,21649,1,1112,183,1630,3048,289,903
2020-01,162376,20760,40,1417,210,1989,3513,360,1066
2020-02,173417,19102,47,1409,351,2325,4999,548,2008
2020-03,156498,23062,156,1254,377,2136,4483,309,1683
2020-04,946,102,18,33,13,109,230,43,353
2020-05,29603,8204,27,456,142,1058,2371,344,875
2020-06,71262,20225,7,777,288,1530,2973,376,1009
2020-07,136025,26205,59,1138,349,2636,2638,94,1507
2020-08,169052,32520,15,1358,416,2516,2782,212,1138
2020-09,172321,36452,55,1618,601,3056,4100,120,1839
2020-10,186400,37359,19,1798,505,3518,5062,235,1572
2020-11,186260,38761,92,1718,457,3489,5718,160,1545
2020-12,163015,34787,84,1752,571,2850,5228,133,876
2021-01,157706,32450,87,1619,396,2954,3749,109,1328
2021-02,155069,28572,71,1856,660,3238,5980,140,1449
2021-03,154138,31580,166,1971,623,3488,6224,148,2002
2021-04,147859,28083,158,2152,417,3280,7086,262,1610
2021-05,141798,35483,298,2026,787,4171,6626,263,1391
2021-06,119461,31825,150,2339,749,4223,7178,311,1311
2021-07,116113,31709,160,2564,724,4040,7313,312,1221
2021-08,120394,28463,175,2462,684,4394,7248,218,1292
2021-09,133857,25216,232,2040,872,4338,6334,157,1041
2021-10,135233,28695,216,1688,600,3879,7350,179,1125
2021-11,159310,30447,157,1958,532,4338,7395,169,1414
2021-12,166913,30188,144,1754,346,3829,6322,127,1302
2022-01,112323,22306,145,2142,337,3035,3804,85,1240
2022-02,130221,22369,95,2022,530,3279,5463,266,1690
2022-03,139632,29202,106,2046,686,4381,6312,460,1961
2022-04,144517,29823,128,956,456,3586,4946,239,1386
2022-05,159555,29401,170,1965,680,4377,6755,365,2648
2022-06,158384,28853,161,1491,717,4239,6762,459,2532
2022-07,160169,42927,114,1414,615,4129,6452,347,2783
2022-08,181017,36157,108,2028,1028,5364,8695,361,3203
2022-09,156727,32280,107,1661,804,4437,7947,248,3551
2022-10,164674,22662,164,2200,795,4101,8322,296,2830
2022-11,168136,29570,205,1911,1166,4361,7478,332,2637
2022-12,149478,25617,27,1746,531,4486,7824,534,1324
2023-01,125060,22775,218,1019,216,1116,1480,69,713
2023-02,123694,28426,194,1366,358,1920,4285,175,1100
2023-03,167662,39890,153,1689,420,3574,6489,233,1725
2023-04,137549,32421,61,1202,195,2121,3676,214,1414
2023-05,175051,42524,73,1202,169,2451,4497,415,1532
2023-06,142727,37477,35,758,117,2083,4036,518,1431
2023-07,141859,32505,46,820,375,1609,3899,286,1617
2023-08,173693,41590,130,1084,302,2165,5942,349,1699
2023-09,159503,39301,36,971,129,1891,5193,416,1449
2023-10,149725,37457,107,1947,284,2806,5334,469,1629
2023-11,155517,35241,,1805,215,2258,5752,365,1522
2023-12,130039,32019,,1057,125,1926,5154,287,971
2024-01,117025,26002,47,1637,162,2124,3971,264,1332
2024-02,140688,36566,27,1179,196,2000,6760,380,1888
2024-03,143419,38482,62,1329,324,2835,6674,431,2195
2024-04,167402,40249,107,1410,153,2434,7552,381,2427
2024-05,127047,25782,83,1392,152,2824,6721,354,2377
2024-06,158981,37179,116,1572,346,3095,7107,396,2243
2024-07,180671,51945,51,1271,270,3657,6660,291,1905
2024-08,193467,50889,23,1583,468,3960,7067,352,1804
2024-09,169107,45495,101,1506,457,4103,7043,221,1956
2024-10,183253,48655,28,2120,484,4156,8004,333,2081
2024-11,174885,45647,34,1773,414,3889,7060,316,2128
2024-12,139075,38683,26,1413,328,2955,5957,281,1413
2025-01,138765,30754,56,1152,320,2426,4087,390,1416
2025-02,164440,42384,51,1561,462,3213,6683,533,1952
2025-03,143096,36242,77,1837,523,3294,5989,570,2311
2025-04,172928,45350,41,1359,743,3320,5557,501,2373
2025-05,160068,44477,100,1502,788,3930,6007,539,2381
2025-06,153309,42494,124,1322,604,3808,5435,473,2303
2025-07,184179,40637,125,1134,766,4118,5915,474,2420
2025-08,194240,40089,109,1184,479,3517,4807,518,2089
2025-09,183174,47337,100,1158,395,3318,5136,561,2226
2025-10,184841,50635,89,1201,762,3326,4782,362,1772
